id,name,year,omega_shift_description,is_prehistoric,source,interval_years,log_interval,post_1450,post_industrial,gpt_number
1,Controlled Fire,-1000000,"Cooking, warmth, light — first energy transformation beyond muscle",True,Lipsey et al. 2005,,,False,False,1
2,Stone Tools (Acheulean),-300000,"Precision manufacturing, hunting efficiency",True,Lipsey et al. 2005,700000.0,13.458835614025542,False,False,2
3,Symbolic Language,-100000,Knowledge transfer across time and space,True,Lipsey et al. 2005,200000.0,12.206072645530174,False,False,3
4,Neolithic Agriculture,-10000,Controlled food supply — enables sedentary civilization,False,Lipsey et al. 2005,90000.0,11.407564949312402,False,False,4
5,Animal Husbandry,-8500,"Draft power, dairy, wool — systematic biomass energy",False,Lipsey et al. 2005,1500.0,7.313220387090301,False,False,5
6,Bronze/Metallurgy Smelting,-3500,"First synthetic materials; weapons, tools beyond stone",False,Lipsey et al. 2005,5000.0,8.517193191416238,False,False,6
9,Mechanical Advantage (Wheel/Lever),-3500,"Amplifies force — enables construction, water management, transport",False,Lipsey et al. 2005,0.0,,False,False,7
7,Writing & Record Keeping,-3200,External memory — enables complex administration and trade,False,Lipsey et al. 2005,300.0,5.703782474656201,False,False,8
8,Iron Smelting,-1200,"Harder tools, cheaper than bronze; democratizes metalworking",False,Lipsey et al. 2005,2000.0,7.600902459542082,False,False,9
10,Waterwheel,-300,Continuous mechanical power from water flow,False,Lipsey et al. 2005,900.0,6.802394763324311,False,False,10
12,Printing Press (Gutenberg),1450,Mass reproduction of information — scientific revolution enabler,False,Bresnahan & Trajtenberg 1995,1750.0,7.4673710669175595,True,False,11
11,Three-Masted Sailing Ship,1450,Transoceanic navigation — global trade and knowledge networks,False,Bresnahan & Trajtenberg 1995,0.0,,True,False,12
13,Steam Engine (Watt),1769,"Portable, scalable mechanical power from fossil fuel",False,Jovanovic & Rousseau 2005,319.0,5.765191102784844,True,True,13
14,Factory System,1780,Division of labor + machines = industrial production,False,Lipsey et al. 2005,11.0,2.3978952727983707,True,True,14
15,Railways,1825,Fast freight + passenger transport; integrates national markets,False,Jovanovic & Rousseau 2005,45.0,3.8066624897703196,True,True,15
16,Steel Production (Bessemer),1856,"Cheap, strong structural material for infrastructure at scale",False,Lipsey et al. 2005,31.0,3.4339872044851463,True,True,16
17,Commercial Electricity,1882,"Clean, transmissible, flexible energy; electric motors",False,Jovanovic & Rousseau 2005,26.0,3.258096538021482,True,True,17
18,Internal Combustion Engine,1885,"Portable mobile power; automobile, aviation",False,Jovanovic & Rousseau 2005,3.0,1.0986122886681098,True,True,18
20,Electronics/Vacuum Tube,1906,"Amplification and signal processing — radio, early computing",False,Lipsey et al. 2005,21.0,3.044522437723423,True,True,19
19,Mass Production (Ford),1908,Moving assembly line; consumer goods at population scale,False,Lipsey et al. 2005,2.0,0.6931471805599453,True,True,20
21,Transistor/Semiconductor,1947,Miniaturized switching; basis of all digital technology,False,Jovanovic & Rousseau 2005,39.0,3.6635616461296463,True,True,21
22,Personal Computer (Intel 4004),1971,Programmable universal machine — information processing at scale,False,Jovanovic & Rousseau 2005,24.0,3.1780538303479458,True,True,22
23,Internet/WWW,1991,Global information network — eliminates distance in communication,False,Bresnahan & Trajtenberg 1995,20.0,2.995732273553991,True,True,23
24,Generative AI (Transformer),2017,"Cognitive task automation — language, reasoning, generation",False,Gülmez 2026,26.0,3.258096538021482,True,True,24
